Slug,Kategorie,Titel,Wortzahl_Erklaerung,Wortzahl_FAQ,Wortzahl_Gesamt,Bewertung,Tag
countdown,alltag,Countdown-Rechner,317,152,469,DUENN,
nebenkosten-rechner,wohnen,Nebenkostenrechner,322,188,510,AKZEPTABEL,
wahrer-stundenlohn,finanzen,Wahrer Stundenlohn Rechner,347,171,518,AKZEPTABEL,
estrich-rechner,wohnen,Estrich-Rechner,313,206,519,AKZEPTABEL,
lebenszeit-rechner,alltag,Lebenszeit-Rechner,360,162,522,AKZEPTABEL,
raucher-rechner,gesundheit,Raucher-Rechner,357,177,534,AKZEPTABEL,
spenden-rechner,finanzen,Spenden-Rechner,345,201,546,AKZEPTABEL,
grunderwerbsteuer-rechner,wohnen,Grunderwerbsteuerrechner,395,158,553,AKZEPTABEL,
reisekosten-rechner,alltag,Reisekosten-Rechner,349,210,559,AKZEPTABEL,
budget-rechner,alltag,Budget-Rechner,378,204,582,AKZEPTABEL,
beton-rechner,wohnen,Beton-Rechner,344,240,584,AKZEPTABEL,
midijob-rechner,finanzen,Midijob-Rechner,368,225,593,AKZEPTABEL,
fahrrad-rahmengroesse-rechner,auto,Fahrrad-Rahmengröße-Rechner,350,243,593,AKZEPTABEL,
steuerprogression-rechner,finanzen,Steuerprogression-Rechner,368,236,604,AKZEPTABEL,
nebenjob-rechner,finanzen,Nebenjob-Rechner,404,211,615,AKZEPTABEL,
zeitwert-rechner,alltag,Zeitwert-Rechner,389,227,616,AKZEPTABEL,
firmenwagen-rechner,auto,Firmenwagenrechner,365,253,618,AKZEPTABEL,
grundsteuer-rechner,wohnen,Grundsteuer-Rechner,409,209,618,AKZEPTABEL,
noten-international,mathe,Noten-Umrechner (international),394,228,622,AKZEPTABEL,
streaming-kosten-rechner,alltag,Streaming-Kosten-Rechner,486,155,641,AKZEPTABEL,
sonnenschutz-rechner,gesundheit,Sonnenschutz-Rechner,409,237,646,AKZEPTABEL,
schritte-rechner,gesundheit,Schritte-Rechner,438,223,661,AKZEPTABEL,
zufallszahl-generator,mathe,Zufallszahl-Generator,433,229,662,AKZEPTABEL,
betriebskosten-rechner,finanzen,Betriebskosten-Rechner,412,253,665,AKZEPTABEL,
gefrierdauer-rechner,kochen,Gefrierdauer-Rechner,394,273,667,AKZEPTABEL,
waehrungsrechner,alltag,Währungsrechner,471,200,671,AKZEPTABEL,
rezept-umrechner,kochen,Rezept-Umrechner,434,243,677,AKZEPTABEL,
hochrechner,finanzen,Hochrechner (Gehalt),475,203,678,AKZEPTABEL,
taxi-rechner,auto,Taxi-Kosten-Rechner,417,262,679,AKZEPTABEL,
skontorechner,alltag,Skontorechner,446,234,680,AKZEPTABEL,
malerkosten-rechner,wohnen,Malerkosten-Rechner,486,195,681,AKZEPTABEL,
krankengeld-rechner,finanzen,Krankengeld-Rechner,460,225,685,AKZEPTABEL,
notenschluessel-rechner,mathe,Notenschlüssel-Rechner,496,190,686,AKZEPTABEL,
kaffee-kosten-rechner,alltag,Kaffee-Kosten-Rechner,471,226,697,AKZEPTABEL,
gewerbesteuer-rechner,finanzen,Gewerbesteuer-Rechner,459,239,698,AKZEPTABEL,
schenkungssteuer-rechner,finanzen,Schenkungssteuer-Rechner,416,287,703,AKZEPTABEL,
leasing-rechner,auto,Leasing-Rechner,458,245,703,AKZEPTABEL,
lieferservice-rechner,alltag,Lieferservice-Rechner,483,222,705,AKZEPTABEL,
ggt-kgv-rechner,mathe,ggT/kgV-Rechner,431,276,707,AKZEPTABEL,
pace-rechner,sport,Pace-Rechner,425,286,711,AKZEPTABEL,
wissenschaftlicher-taschenrechner,mathe,Wissenschaftlicher Taschenrechner,503,209,712,AKZEPTABEL,
umzugskosten-rechner,alltag,Umzugskosten-Rechner,448,265,713,AKZEPTABEL,
zyklusrechner,gesundheit,Zyklusrechner,534,183,717,AKZEPTABEL,
laminat-rechner,wohnen,Laminat-Rechner,446,272,718,AKZEPTABEL,
blutdruck-rechner,gesundheit,Blutdruck-Rechner,489,234,723,AKZEPTABEL,
einkommensteuer-rechner,finanzen,Einkommensteuer-Rechner,462,268,730,AKZEPTABEL,
volumenrechner,mathe,Volumen-Rechner,480,252,732,AKZEPTABEL,
arbeitszeitrechner,arbeit,Arbeitszeitrechner,524,218,742,AKZEPTABEL,
zucker-umrechner,kochen,Zucker-Umrechner,446,298,744,AKZEPTABEL,
balkon-solar-rechner,wohnen,Balkon-Solar-Rechner,488,257,745,AKZEPTABEL,
lohnsteuer-rechner,finanzen,Lohnsteuer-Rechner,446,308,754,AKZEPTABEL,
schlaf-rechner,gesundheit,Schlafrechner,539,218,757,AKZEPTABEL,
schwangerschaft-gewicht-rechner,gesundheit,Gewichtszunahme-Rechner (Schwangerschaft),544,215,759,AKZEPTABEL,
backzeit-rechner,kochen,Backzeit-Rechner,510,255,765,AKZEPTABEL,
durchschnitt-rechner,mathe,Durchschnittsrechner,579,187,766,AKZEPTABEL,
quersumme-rechner,mathe,Quersumme-Rechner,515,252,767,AKZEPTABEL,
rabattrechner,alltag,Rabattrechner,558,210,768,AKZEPTABEL,
naehrwert-rechner,kochen,Nährwert-Rechner,489,280,769,AKZEPTABEL,
quadratmeter-rechner,wohnen,Quadratmeter-Rechner,539,234,773,AKZEPTABEL,
wasserbedarf-rechner,gesundheit,Wasserbedarf-Rechner,525,251,776,AKZEPTABEL,
kw-ps-umrechner,auto,KW-PS-Umrechner,636,140,776,AKZEPTABEL,
steuererstattung-rechner,finanzen,Steuererstattungs-Rechner,486,291,777,AKZEPTABEL,
kapitalertragsteuer-rechner,finanzen,Kapitalertragsteuer-Rechner,477,305,782,AKZEPTABEL,
arbeitstage-rechner,arbeit,Arbeitstage-Rechner,521,263,784,AKZEPTABEL,
mwst-rueckerstattung-rechner,finanzen,MwSt-Rückerstattungs-Rechner,498,287,785,AKZEPTABEL,
abo-rechner,alltag,Abo-Rechner,561,226,787,AKZEPTABEL,
kurzarbeitergeld-rechner,finanzen,Kurzarbeitergeld-Rechner,512,277,789,AKZEPTABEL,
alkohol-abbau-rechner,gesundheit,Alkohol-Abbau-Rechner,559,233,792,AKZEPTABEL,
baufinanzierung-rechner,wohnen,Baufinanzierungs-Rechner,511,281,792,AKZEPTABEL,
primzahl-rechner,mathe,Primzahl-Rechner,499,301,800,GUT,
kreditrechner,finanzen,Kreditrechner,544,258,802,GUT,
schuhgroessen-rechner,alltag,Schuhgrößen-Umrechner,488,315,803,GUT,
fliesenbedarf-rechner,wohnen,Fliesenbedarf-Rechner,519,284,803,GUT,
tapetenbedarf-rechner,wohnen,Tapetenbedarf-Rechner,574,230,804,GUT,
steuerklassen-vergleich-rechner,finanzen,Steuerklassen-Vergleich-Rechner,494,313,807,GUT,
cups-umrechner,kochen,Cups-Umrechner,560,249,809,GUT,
backform-umrechner,kochen,Backform-Umrechner,534,275,809,GUT,
hundejahre-rechner,alltag,Hundejahre-Rechner,545,271,816,GUT,
gmbh-geschaeftsfuehrer-rechner,finanzen,GmbH-Geschäftsführer-Rechner,539,278,817,GUT,
herzfrequenz-zonen-rechner,sport,Herzfrequenz-Zonen-Rechner,531,286,817,GUT,
rentenrechner,finanzen,Rentenrechner,492,328,820,GUT,
stromvergleich-rechner,wohnen,Stromvergleich-Rechner,570,252,822,GUT,
hefe-umrechner,kochen,Hefe-Umrechner,570,255,825,GUT,
wohngeld-rechner,finanzen,Wohngeld-Rechner,553,273,826,GUT,
fuehrerschein-rechner,auto,Führerscheinkosten-Rechner,608,218,826,GUT,
geburtstag-rechner,alltag,Geburtstags-Rechner,609,218,827,GUT,
whr-rechner,gesundheit,WHR-Rechner,535,292,827,GUT,
abi-rechner,mathe,Abi-Notenrechner,588,239,827,GUT,
arbeitslosengeld-rechner,finanzen,Arbeitslosengeld-Rechner,448,381,829,GUT,
alkoholgehalt-rechner,kochen,Alkoholgehalt-Rechner,539,290,829,GUT,
bruchrechner,mathe,Bruchrechner,612,224,836,GUT,
prozentrechner,alltag,Prozentrechner,538,308,846,GUT,
mietrendite-rechner,wohnen,Mietrendite-Rechner,615,231,846,GUT,
splitting-rechner,finanzen,Splitting-Rechner,554,295,849,GUT,
ueberstunden-rechner,arbeit,Überstunden-Rechner,641,208,849,GUT,
einheiten-umrechner,mathe,Einheiten-Umrechner,639,215,854,GUT,
bafoeg-rechner,finanzen,BAföG-Rechner,567,289,856,GUT,
kochzeit-rechner,kochen,Kochzeit-Rechner,608,251,859,GUT,
binaer-rechner,mathe,Binär-Rechner,551,312,863,GUT,
koerperfett-rechner,gesundheit,Körperfettrechner,622,245,867,GUT,
aufstiegs-bafoeg-rechner,finanzen,Aufstiegs-BAföG-Rechner,567,302,869,GUT,
riester-rechner,finanzen,Riester-Rechner,584,291,875,GUT,
rechtsschutz-rechner,arbeit,Rechtsschutz-Rechner,575,302,877,GUT,
reichweiten-rechner,auto,Reichweiten-Rechner (E-Auto),545,336,881,GUT,
prozentuale-veraenderung-rechner,mathe,Prozentuale-Veränderung-Rechner,630,253,883,GUT,
inflationsrechner,finanzen,Inflationsrechner,620,270,890,GUT,
uhrzeitrechner,alltag,Uhrzeitrechner,628,266,894,GUT,
pythagoras-rechner,mathe,Pythagoras-Rechner,508,390,898,GUT,
kalorienrechner,gesundheit,Kalorienrechner,566,335,901,GUT,
protein-rechner,gesundheit,Protein-Rechner,540,364,904,GUT,
handykosten-rechner,alltag,Handykosten-Rechner,606,299,905,GUT,
pfaendungsrechner,finanzen,Pfändungsrechner,561,346,907,GUT,
brutto-netto-rechner,finanzen,Brutto-Netto-Rechner,601,308,909,INLINE,INLINE
teilzeit-rechner,arbeit,Teilzeit-Rechner,609,300,909,GUT,
trinkgeld-rechner,alltag,Trinkgeld-Rechner,682,238,920,GUT,
kindergeld-rechner,finanzen,Kindergeld-Rechner,626,297,923,GUT,
urlaubstage-rechner,arbeit,Urlaubstage-Rechner,688,236,924,GUT,
etf-sparplanrechner,finanzen,ETF-Sparplanrechner,571,355,926,GUT,
gehaltsvergleich,finanzen,Gehaltsvergleich,755,174,929,GUT,
witwenrente-rechner,finanzen,Witwenrente-Rechner,627,304,931,GUT,
erbschaftsteuer-rechner,finanzen,Erbschaftsteuer-Rechner,591,355,946,GUT,
pflegegeld-rechner,finanzen,Pflegegeld-Rechner,620,328,948,GUT,
geburtstermin-rechner,gesundheit,Geburtstermin-Rechner,621,337,958,GUT,
pizzateig-rechner,kochen,Pizzateig-Rechner,607,351,958,GUT,
indexmiete-rechner,wohnen,Indexmiete-Rechner,642,333,975,GUT,
pendlerpauschale-rechner,arbeit,Pendlerpauschale-Rechner,678,299,977,GUT,
poolkosten-rechner,wohnen,Poolkosten-Rechner,577,404,981,GUT,
autokosten-rechner,auto,Autokosten-Rechner,654,332,986,GUT,
dachflaechen-rechner,wohnen,Dachflächen-Rechner,688,301,989,GUT,
mietpreisbremse-rechner,wohnen,Mietpreisbremse-Rechner,644,358,1002,GUT,
flaechenrechner,mathe,Flächenrechner,723,279,1002,GUT,
promillerechner,arbeit,Promillerechner,802,203,1005,GUT,
brotback-rechner,kochen,Brotback-Rechner,639,366,1005,GUT,
kleidergroessen-rechner,alltag,Kleidergrößen-Umrechner,635,383,1018,GUT,
idealgewicht-rechner,gesundheit,Idealgewicht-Rechner,709,311,1020,GUT,
bussgeldrechner,auto,Bußgeldrechner,698,322,1020,GUT,
potenz-rechner,mathe,Potenz-Rechner,770,250,1020,GUT,
gehaltserhoehung-rechner,finanzen,Gehaltserhöhung-Rechner,615,407,1022,GUT,
ssw-rechner,gesundheit,SSW-Rechner,657,365,1022,GUT,
freelancer-stundensatz-rechner,arbeit,Freelancer-Stundensatz-Rechner,730,310,1040,GUT,
heizkosten-rechner,wohnen,Heizkostenrechner,752,305,1057,GUT,
nettolohn-optimierer,finanzen,Nettolohn-Optimierer,732,332,1064,GUT,
sparrechner,finanzen,Sparrechner,804,279,1083,GUT,
minijob-rechner,finanzen,Minijob-Rechner,638,448,1086,GUT,
waermepumpen-rechner,wohnen,Wärmepumpen-Rechner,688,399,1087,GUT,
afa-rechner,finanzen,AfA-Rechner,734,420,1154,GUT,
elternzeit-rechner,arbeit,Elternzeit-Rechner,700,457,1157,GUT,
energiekosten-rechner,wohnen,Energiekosten-Rechner,750,409,1159,GUT,
vorfaelligkeitsentschaedigung-rechner,wohnen,Vorfälligkeitsentschädigung-Rechner,717,444,1161,GUT,
photovoltaik-rechner,wohnen,Photovoltaik-Rechner,827,350,1177,GUT,
elterngeld-rechner,finanzen,Elterngeld-Rechner,851,331,1182,GUT,
scheidungskosten-rechner,arbeit,Scheidungskosten-Rechner,844,341,1185,GUT,
gleichungsrechner,mathe,Gleichungslöser,756,442,1198,GUT,
kfz-steuer-rechner,auto,Kfz-Steuer-Rechner,948,251,1199,GUT,
abfindungsrechner,arbeit,Abfindungsrechner,772,449,1221,GUT,
mwst-rechner,finanzen,MwSt-Rechner,782,448,1230,GUT,ALREADY_DONE
kuendigungsfrist-rechner,arbeit,Kündigungsfrist-Rechner,617,704,1321,GUT,
zugewinnausgleich-rechner,arbeit,Zugewinnausgleich-Rechner,917,486,1403,GUT,
mutterschutz-rechner,arbeit,Mutterschutz-Rechner,767,643,1410,GUT,
buergergeld-rechner,finanzen,Bürgergeld-Rechner,1014,427,1441,GUT,
bmi-rechner,gesundheit,BMI-Rechner,1051,493,1544,GUT,ALREADY_DONE
ehegattenunterhalt-rechner,arbeit,Ehegattenunterhalt-Rechner,1086,487,1573,GUT,
unterhaltsrechner,arbeit,Unterhaltsrechner,892,725,1617,GUT,
dreisatz-rechner,alltag,Dreisatzrechner,1143,498,1641,GUT,ALREADY_DONE
zinsrechner,finanzen,Zinsrechner,1131,531,1662,GUT,ALREADY_DONE
stundenlohn-rechner,finanzen,Stundenlohnrechner,1160,540,1700,GUT,ALREADY_DONE
stromkosten-rechner,wohnen,Stromkostenrechner,1110,652,1762,GUT,ALREADY_DONE
spritkosten-rechner,auto,Spritkostenrechner,1265,556,1821,GUT,ALREADY_DONE
tagerechner,alltag,Tagerechner,1261,584,1845,GUT,ALREADY_DONE
mietrechner,wohnen,Mietrechner,1234,655,1889,GUT,ALREADY_DONE
